reader_id,age_group,reading_level,favorite_genre,preferred_length
r_00575,18+,Продвинутый,Фэнтези,Длинная
r_00576,12–14,Начальный,Фэнтези,Длинная
r_00577,12–14,Начальный,Научпоп,Средняя
r_00578,12–14,Начальный,Детектив,Короткая
r_00579,15–17,Начальный,Научная фантастика,Короткая
r_00580,18+,Продвинутый,Научная фантастика,Длинная
r_00581,12–14,Начальный,Психология,Длинная
r_00582,18+,Продвинутый,Приключения,Средняя
r_00583,12–14,Начальный,Фэнтези,Короткая
r_00584,15–17,Средний,Научная фантастика,Средняя
r_00585,12–14,Начальный,Научная фантастика,Средняя
r_00586,15–17,Средний,Современная проза,Средняя
r_00587,12–14,Начальный,Психология,Средняя
r_00588,18+,Продвинутый,Научная фантастика,Средняя
r_00589,12–14,Средний,История,Короткая
r_00590,18+,Продвинутый,Научпоп,Средняя
r_00591,18+,Средний,Фэнтези,Длинная
r_00592,15–17,Средний,Детектив,Короткая
r_00593,12–14,Начальный,Приключения,Длинная
r_00594,15–17,Средний,Приключения,Средняя
r_00595,15–17,Средний,Приключения,Короткая
r_00596,12–14,Начальный,Фэнтези,Длинная
r_00597,18+,Продвинутый,Детектив,Средняя
r_00598,15–17,Продвинутый,Научпоп,Короткая
r_00599,18+,Продвинутый,Научная фантастика,Средняя
r_00600,15–17,Средний,Психология,Короткая
r_00601,12–14,Начальный,Приключения,Длинная
r_00602,15–17,Средний,Приключения,Средняя
r_00603,15–17,Средний,Фэнтези,Средняя
r_00604,12–14,Начальный,Приключения,Средняя
r_00605,15–17,Продвинутый,Фэнтези,Средняя
r_00606,15–17,Средний,Приключения,Короткая
r_00607,15–17,Начальный,История,Длинная
r_00608,15–17,Начальный,Фэнтези,Длинная
r_00609,18+,Продвинутый,Детектив,Длинная
r_00610,18+,Продвинутый,Современная проза,Средняя
r_00611,12–14,Начальный,Детектив,Длинная
r_00612,18+,Средний,История,Короткая
r_00613,15–17,Продвинутый,Фэнтези,Длинная
r_00614,15–17,Средний,Психология,Короткая
r_00615,15–17,Средний,История,Короткая
r_00616,12–14,Начальный,Современная проза,Средняя
r_00617,12–14,Начальный,Современная проза,Длинная
r_00618,15–17,Продвинутый,Фэнтези,Короткая
r_00619,15–17,Продвинутый,Современная проза,Средняя
r_00620,15–17,Средний,Научная фантастика,Длинная
r_00621,12–14,Начальный,Фэнтези,Средняя
r_00622,18+,Средний,Современная проза,Короткая
r_00623,18+,Продвинутый,Приключения,Длинная
r_00624,15–17,Продвинутый,Психология,Длинная
r_00625,18+,Продвинутый,Детектив,Длинная
r_00626,12–14,Начальный,Современная проза,Короткая
r_00627,15–17,Средний,Приключения,Короткая
r_00628,12–14,Начальный,Научпоп,Средняя
r_00629,15–17,Средний,Психология,Короткая
r_00630,18+,Продвинутый,Научная фантастика,Длинная
r_00631,12–14,Начальный,Современная проза,Длинная
r_00632,12–14,Начальный,История,Длинная
r_00633,12–14,Начальный,Фэнтези,Длинная
r_00634,12–14,Начальный,История,Средняя
r_00635,18+,Продвинутый,Приключения,Длинная
r_00636,18+,Продвинутый,Фэнтези,Длинная
r_00637,15–17,Продвинутый,Научпоп,Длинная
r_00638,15–17,Средний,Научпоп,Короткая
r_00639,12–14,Средний,Фэнтези,Длинная
r_00640,12–14,Средний,Детектив,Короткая
r_00641,15–17,Средний,История,Средняя
r_00642,15–17,Продвинутый,Детектив,Средняя
r_00643,15–17,Средний,Психология,Средняя
r_00644,18+,Продвинутый,Научная фантастика,Средняя
r_00645,12–14,Начальный,Научпоп,Длинная
r_00646,15–17,Продвинутый,Фэнтези,Короткая
r_00647,12–14,Начальный,История,Длинная
r_00648,15–17,Продвинутый,Научная фантастика,Средняя
r_00649,15–17,Средний,Научная фантастика,Длинная
r_00650,15–17,Средний,Современная проза,Средняя
r_00651,15–17,Начальный,История,Длинная
r_00652,15–17,Средний,Детектив,Средняя
r_00653,15–17,Начальный,Психология,Длинная
r_00654,15–17,Средний,Детектив,Короткая
r_00655,15–17,Средний,Научпоп,Длинная
r_00656,12–14,Начальный,Психология,Длинная
r_00657,12–14,Начальный,Психология,Короткая
r_00658,12–14,Начальный,Научная фантастика,Длинная
r_00659,15–17,Продвинутый,Фэнтези,Средняя
r_00660,12–14,Средний,Психология,Длинная
r_00661,12–14,Средний,Психология,Средняя
r_00662,15–17,Средний,Приключения,Средняя
r_00663,15–17,Начальный,Научпоп,Средняя
r_00664,15–17,Продвинутый,История,Короткая
r_00665,12–14,Начальный,Научпоп,Короткая
r_00666,12–14,Средний,Научная фантастика,Длинная
r_00667,12–14,Начальный,Психология,Средняя
r_00668,15–17,Средний,Современная проза,Короткая
r_00669,18+,Продвинутый,Современная проза,Длинная
r_00670,15–17,Средний,Научная фантастика,Короткая
r_00671,15–17,Средний,Современная проза,Короткая
r_00672,15–17,Начальный,История,Короткая
r_00673,12–14,Начальный,Детектив,Короткая
r_00674,15–17,Начальный,Приключения,Средняя
r_00675,18+,Продвинутый,Научпоп,Короткая
r_00676,15–17,Средний,Научпоп,Короткая
r_00677,18+,Средний,Научпоп,Средняя
r_00678,12–14,Средний,История,Короткая
r_00679,15–17,Продвинутый,Научпоп,Короткая
r_00680,12–14,Начальный,Детектив,Средняя
r_00681,15–17,Начальный,Детектив,Средняя
r_00682,18+,Средний,Психология,Длинная
r_00683,15–17,Продвинутый,Научная фантастика,Средняя
r_00684,12–14,Начальный,История,Длинная
r_00685,12–14,Начальный,Психология,Средняя
r_00686,18+,Продвинутый,Детектив,Короткая
r_00687,18+,Продвинутый,Фэнтези,Короткая
r_00688,15–17,Средний,Приключения,Средняя
r_00689,15–17,Начальный,Современная проза,Длинная
r_00690,12–14,Начальный,Научная фантастика,Средняя
r_00691,15–17,Средний,Приключения,Короткая
r_00692,15–17,Продвинутый,История,Короткая
r_00693,15–17,Средний,Научная фантастика,Средняя
r_00694,15–17,Начальный,Современная проза,Длинная
r_00695,18+,Продвинутый,История,Средняя
r_00696,12–14,Начальный,Фэнтези,Длинная
r_00697,15–17,Средний,Детектив,Средняя
r_00698,18+,Продвинутый,Современная проза,Средняя
r_00699,12–14,Начальный,История,Короткая
r_00700,12–14,Начальный,Научпоп,Короткая
